,V01,V02,V03,VB,V10_12,V13_15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31_32,V33,VD,V36,V37_39,VF,V45,V46,V47,V49,V50,V51,V52,V53,VI,V58,V59_60,V61,V62_63,V64,V65,V66,V68B,V68A,V69_70,V71,V72,V73,V74_75,V77,V78,V79,V80_82,VO,VP,V86,V87_88,V90_92,V93,V94,V95,V96,VT,VU
R20,5.04063747751942,0.24236864556114177,0.002400863432854651,0.36820814044368805,0.8786270955569188,0.39183145101140604,4.377643486580001,0.09854737517326438,0.3735829129024244,0.03715574931339668,1.4847117310508928,0.343280657147012,0.8089032550398189,1.4323603934258484,0.17600403783075205,0.3326200330974228,0.05973835639032993,0.11774769590514725,0.0826371265530712,0.047114886516349305,0.01365429326833386,0.298975011382686,0.03466267164718135,0.06390117035346884,0.09297829415137518,0.564420268842336,1.1423894432577368,0.05296390360379767,0.3841579094496072,0.12723917521034217,0.10497931795017128,0.03462315126145534,0.024535572804893213,0.0599096113951426,0.002581998534098829,0.2587004449624123,0.022434405630460744,0.0011197442622367373,0.017952135216036634,0.0029080417163383503,0.0006817266537735429,0.005381359189690672,0.0,0.08394129928202929,0.32193635548949345,0.1209225002251361,0.039322783797372474,0.004070599729778256,0.07892550366030414,0.008766938900218218,0.009689081233824944,0.0067151722079432565,0.0039059314559199126,0.3100736530407384,0.03644767573580579,0.06397362439396652,0.4731973384902908,0.011856115717800745,0.0137399207707402,0.036259953903607284,0.027868458667786086,0.013180048639621831,0.2891509021642972,0.0,0.0
R21,0.25551502538839227,0.001622947748537129,5.059549335967068e-05,0.0,0.08041180679262738,4.086559079050325e-05,0.000406709927391199,0.0,0.0,0.0,0.002496692999248365,0.07655487341420943,3.891961027666976e-06,0.0,0.0,5.2541473873504175e-05,0.0,0.0,3.502764924900278e-05,7.783922055333952e-06,0.0,7.783922055333952e-06,4.086559079050325e-05,0.000821203776837732,0.0026601553624103777,0.0028897810630427296,0.0025258827069558677,0.0012746172365609347,0.004641163525492868,1.1675883083000928e-05,0.0006733092577863868,1.5567844110667905e-05,0.0,0.0001459485385375116,0.0,0.000163462363162013,1.5567844110667905e-05,0.0015801361772327922,9.72990256916744e-06,0.0029773501861652366,0.0,3.891961027666976e-05,0.0,0.00536701425715276,0.0,1.945980513833488e-06,0.00926675920687507,0.016706242711260495,0.0020977669939125,0.08409554790531419,3.891961027666976e-06,0.0,0.0021989579806318414,0.00018097618778651438,0.2245661512963845,0.20483974682765446,2.622066685813116,0.06810153406211675,0.03666227288062291,0.04047055674619505,0.006196001956045826,0.0,0.0007822841665610623,0.0,0.0
R22,0.26563738795848846,0.12317395946125327,0.012636631897695096,0.3904175502843902,1.7245431808556417,0.09548262115044054,0.3177725779770179,0.097652623772571,0.4534328227339711,0.0,0.1564782375798861,0.04526936186074948,2.3110678272291487,0.16017676398896757,0.12227939717938191,0.2883998635005591,0.05982291293388314,0.21760164862102757,0.34569444774422325,0.02367457826084142,0.024569140542712756,0.30980921962467306,0.048238707250154333,0.024208308697924313,0.022496863211879155,0.05412978827166557,2.2727595130407763,0.1807692369089078,0.15350388063708142,0.3354708788085508,0.5352339031028499,0.0005562824273821755,0.09775536061726771,0.09775536061726771,0.016209869471780602,0.05209008603793094,0.014869278937323557,0.006946013012177435,0.0018191938841417093,0.43960093535041433,0.000491132233184263,0.001666341505446607,0.0,0.061010651089645096,0.2187994098835892,0.013861956703955836,0.015345376510308303,0.0027789063602109577,0.013375836024171412,0.0012052785926613804,0.17293617894495877,0.001398223398555198,0.0052070039824331565,0.09532726299504551,0.031099194622703517,0.12890717655066952,0.020331872143148525,0.004863712574544157,0.019439815637977108,0.0386866864700604,0.015210064568512639,0.003117186214700119,0.016004395782387187,0.0,0.0
R23,0.04081625116484987,0.004474083065802025,0.002219869546256273,0.03593940695774397,0.594288113801131,0.01184554860548003,0.0918638841905743,0.0009272872788159116,1.8733076339715387e-05,0.0,0.012750980628566272,0.0053077049629193605,0.025342730108244962,1.0434791848129965,0.03447510482385622,0.24905624993651604,0.10189856874988185,0.1002032253411376,0.018255382893052643,0.0019981948095696414,0.005835353279821343,0.019669730156701155,0.006625264665479342,0.02583291227246752,0.0017171986644739102,0.06998989538456664,18.087303487773937,0.014106006483805684,0.0729153774729522,0.03595814003408368,0.04293621097062766,0.0,0.0,0.04422567105867808,0.0,0.04495938321531693,0.0009147985612561014,0.00014362025193781798,0.0,0.0009241650994259591,0.00021543037790672695,0.0,0.0,0.2839091384665565,0.10090259352448698,0.029008168712049278,0.028574185776845874,0.001564211874366235,0.0022854353134452773,0.013606457781413277,0.008267531024594389,9.054320230862437e-05,0.0010428079162441565,0.03002599919317381,0.014024829819666918,0.028090247971403224,0.023257114275756652,0.005051686252943249,0.010865184277034924,0.005573090211065327,0.014530622880839235,0.00013425371376796027,0.0002622630687560154,0.0,0.0
R24,-0.0020171323166777028,-0.00014572900541921994,-0.0,-0.004540672927187194,-0.10219064343766024,-0.0007073928804724635,-0.004258322979187456,-0.0010996467867258638,-0.002311019144273129,-0.0,-0.00035582165489859535,-0.0025417567361868945,-0.009455383634950385,-0.06488462525452919,-0.12056282059169915,-1.1085793675538727,-0.017315641864749563,-0.09454169226571894,-0.1872083379950439,-0.27168258480305174,-0.03091094366198429,-0.002770065511343672,-0.017552451498555794,-0.002190792714802273,-0.00029449403178467365,-0.0016649538869145878,-0.44462101714660773,-0.005194024634816698,-0.2118808658167071,-4.796913095049324e-05,-0.04605279452923049,-0.0,-0.0,-0.0029145801083843986,-0.0,-1.4572900541921994e-05,-6.072041892467497e-07,-0.0018847618034219115,-0.0,-0.004743479126395609,-0.0052589954830661,-0.0,-0.0,-0.0005732007546489318,-0.0,-1.0322471217194744e-05,-0.00030906693232659563,-7.893654460207747e-06,-5.646998959994772e-05,-0.00015848029339340168,-0.00197280641086269,-0.0,-0.0,-0.02616321410626395,-1.2144083784934995e-05,-4.0075476490285486e-05,-0.0003880034769286731,-1.8216125677402492e-06,-0.00010626073311818121,-7.347170689885673e-05,-4.250429324727248e-06,-0.0055710984363389286,-1.2144083784934995e-06,-0.0,-0.0
R25,0.3455422034864413,0.0028768116847266495,0.022520467941821245,0.019739186056872044,0.8471118642379671,0.001684053898933912,0.5777833350139757,0.002077090789446851,0.024496570085789073,0.0,0.001768666007308225,0.00870685889400191,0.037365798827237034,0.37295106775401726,0.4096836404798723,2.8113028068849766,0.09314701362871573,0.13672497886433785,0.624281782699937,0.4140807406924859,0.06036664519079633,0.5490779948922774,0.05144962073728402,0.04468611091304053,0.018254380026045385,0.03165584622339628,9.3220980987972,0.04855370309260188,0.5170072763955617,0.02445562874302731,0.09609206088471199,2.1835382806274388e-05,0.0,0.24879508111754114,0.0,0.004664583651990366,0.0015148296821852853,0.0033844843349725294,0.003720203345618998,0.0015339356421407754,0.0033926726035248826,0.0,0.0,1.3854604979038114,0.11131132270068525,0.03358554817890078,0.13961270824046765,0.004713713263304483,0.00012009460543450913,0.09167039586644145,0.23286343993751313,0.0011954872086435227,0.0011736518258372481,0.06237822983182435,0.1549520646618754,0.050909195012828735,0.026761991051940045,0.006812639435557607,0.07095407642898861,0.03499665979275627,0.05063898215060108,0.0041705581159984075,0.00021562440521195956,0.0,0.0
R26,0.47378422358090105,1.051730186817795,0.0,0.038428602979880974,0.26824176158982704,0.19593531124610367,0.3129908584808727,0.034383486876735606,0.023765057105979027,0.0005056395128931708,0.005814854398271464,0.05359778836667609,0.04550755616038537,0.17798510853839608,0.01036561001431,0.15194467362439779,221.71028541583303,0.4727729445551147,0.04929985250708415,0.15978208607424196,0.004550755616038537,0.09935816428350806,3.442393803776706,1.9934837795813258,0.35243074048653994,0.08899255426919804,11.827666665840605,0.7073896785375459,12.861193830194246,4.743151450694388,1.601107517576225,0.18784507903981296,0.0,1.3905086604562198,0.05081677104576366,0.36001533317993756,0.47378422358090105,0.18759225928336634,17.24534122673448,29.696967051485256,0.3440876885238027,0.04854139323774439,0.0,9.116680417463868,0.0,0.9814462945256444,2.298131586099461,0.10567865819467268,0.5847720966609519,0.43434434157523366,0.432321783523661,0.10163354209152732,1.47115816276268,9.219325238581181,9.740892396130487,3.09931739427869,0.8504856606863131,0.37164504197648046,1.4286844436796542,0.30060269041499,1.8953897140800506,19.775814169008356,0.29225963845225267,0.0,0.0
R27,1.185661148328301,0.027137682036047533,0.025494817876914606,0.07332041895389524,0.4177742709854313,0.03656893924588468,0.5603992187264525,0.014846624252904929,0.0010343959520466549,0.0,0.024642962386993837,0.1239449737834727,0.006875690740074822,0.21685806900554577,0.07636275998932658,0.2057839476365757,4.426727900194013,34.29192952132645,2.526968464029269,0.055309760024141716,0.33009400234430014,0.9439775764736354,11.492139027238334,2.2767054904546873,0.029997482609352987,0.03589962421808978,46.83172910752593,0.3065462827300616,0.3390993318091769,2.3607957966740094,1.563884985853125,0.0028598005733054574,0.0,0.7623498166583845,0.0008518554899207746,0.22823642447805895,0.15935782343589347,0.15874935522880723,0.10520415300521564,0.76520961723169,0.0,0.1330719968897667,0.0,2.3789281492451804,1.521474751819212,0.07380719351956426,3.239971509092957,0.033222364106910214,0.3432977624380722,0.017402190722667254,0.20566225399515847,0.0003650809242517605,0.17907219334548855,4.541606697691901,0.7178099438996699,0.7046061838058978,0.11274915877308536,0.08695010679262763,0.6385265365163292,0.31749871045761446,0.10648193624009682,1.5719167661866638,0.0035899624218089787,0.0,0.0
R28,55.037221989533194,12.064306992420386,4.745213479539516,8.041685973194442,8.20455376198559,3.33630042453835,72.53946397364409,2.254545373222462,0.0,0.022758817647671542,1.204794909223612,2.6748722866528953,17.249761350832046,12.537974884712549,0.586750767479032,34.26553360772397,0.0,6.060246411744037,59.06411028706808,1.429538233494369,11.097768455445834,1.6279666748600048,67.82554386837013,9.622001373604634,1.1279838996627207,11.56859149553204,125.85626159162362,2.4188355881165906,17.11889814935794,8.463435312727855,26.240916747765286,0.06258674853109673,0.0,7.137022971699499,0.2524806332788561,19.87129265862321,2.2616575037373594,1.218307957201917,0.0014224261029794714,0.906796640649413,1.366951484963272,0.8413650399123573,5.174786162639316,8.540957535340237,0.0,1.502081964746322,5.421577091506255,0.3100888904495247,8.375244894343126,0.33924862556060387,2.4842671888536465,0.0,0.4608660573653487,30.56295846166841,10.001789143100153,2.230364129471811,3.510547622153335,0.336403773354645,1.9444564827729371,2.523383906685582,2.3534039873795356,0.42103812648192357,0.31222252960399394,0.0,0.0
R29,5.349739254770828,7.623543259537176,0.25419136264623815,1.268026653431234,3.1239166167287684,0.8409558625875545,2.450346132713737,0.03626072752446337,0.0,0.010621829274842804,0.49812716599262813,0.2552901725712219,0.05237660642422486,2.5657211748370297,0.047248826774300756,0.09925916322353104,0.03076667789954467,0.14357783019787515,0.0981603532985473,35.77322218774558,0.031865487824528416,0.3197536881702679,0.11793893194825458,1.001748381610175,0.494830736217677,3.4491643545239548,24.417021613038646,142.94198552128458,13.712781593822061,1.0588864977093293,77.29908060275604,0.003662699749945795,0.0,7.869310412758539,0.0,0.09266630367362862,0.23075008424658508,0.10695083269841721,0.08350955429876412,0.45563984889325687,0.09925916322353104,0.0,0.0,2.2320492276169674,0.0,0.7449931291389748,0.9768420233105435,0.27030724154599967,2.150737293168171,0.07178891509893758,5.426289679544695,0.019778578649707293,0.7424292393140127,6.900160058922882,3.575527495897085,1.3083163506806381,2.662050178260604,0.40143189259405915,0.8087241047880315,0.4768835074429425,0.8669610308121697,0.13295600092303234,4.0985610201893445,0.0,0.0
